SKU,SAP PRODUCT DESC EN,SAP PRODUCT DESC FR,SKU STATUS,CATEGORY,SUB CATEGORY,CLASS,BRAND,DEVICE OEM,DEVICE,COLOUR,VENDOR,PART NUMBER,UPC,CURRENCY,ORIGINAL MSRP,CURRENT MSRP
NCSDAUD1107,BEATS SOLO 2 WIRELES HEAD BLUE DEMO,BEATS SOLO 2 CASQUE SANS FIL BLEU DEMO,ND,04 - Audio,BT On-Ear Headphone,Premium,Beats,Universal,Universal,Blue,APPLE CANADA,MHNM2AM/A,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1108,BRAVEN MIRA SPEAKER WHITE/SILVER DEMO,BRAVEN MIRA HAUT PARLEUR BLANC DEMO,ND,04 - Audio,Bluetooth Speaker,Mid-tier,Braven,Universal,Universal,White,JAM INDUSTRIES LTD,BMRAGSW,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1110,BRAVEN 705 CYAN DEMO,BRAVEN 705 CYAN DEMO,ND,04 - Audio,Bluetooth Speaker,Mid-tier,Braven,Universal,Universal,Cyan,JAM INDUSTRIES LTD,B705CBP,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1112,BRAVEN LUX WIRELESS SPKR/PEARL DEMO,BRAVEN LUX HAUT PARLEUR PEARL DEMO,ND,04 - Audio,Bluetooth Speaker,Mid-tier,Braven,Universal,Universal,Pearl,JAM INDUSTRIES LTD,BLUXABP,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1114,HARMAN KARDON ESQUIRE MINI WHITE DEMO,HARMAN KARDON ESQ MINI HAUT PARL BL DEMO,ND,04 - Audio,Bluetooth Speaker,Premium,Harman Kardon,Universal,Universal,Black,JAM INDUSTRIES LTD,HKESQUIREMINIWHTAM,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1115,HARMAN KARDON ESQUIRE WS SPEAK BLK DEMO,HARMAN KARDON ESQUIR HAUT PARL NOIR DEMO,ND,04 - Audio,Bluetooth Speaker,Premium,Harman Kardon,Universal,Universal,Black,JAM INDUSTRIES LTD,HKESQUIREBLKAM,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1117,"JBL ON-EAR HEADPHONE, SINGLE BUTTON MIC REMOTE RED DEMO",JBL E30 SUR L'OREILLE CASQUE ROUGE DEMO,ND,04 - Audio,BT On-Ear Headphone,Entry Level,JBL,Universal,Universal,Red,JAM INDUSTRIES LTD,E30RED,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1120,JBL E50 BLUETOOTH BLACK DEMO,JBL E50 BLUETOOTH NOIR DEMO,ND,04 - Audio,BT On-Ear Headphone,Mid-tier,JBL,Universal,Universal,Black,JAM INDUSTRIES LTD,E50BTBLK,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1132,SOL REPUBLIC JAX IN-EAR HEADPHONES 3-Blue DEMO,SOL REPLUBLIC JAX ÉCOUTEURS  BLEU DEMO,ND,04 - Audio,Wired Headphone,In-Ear,Sol Republic,Universal,Universal,Blue,ATLANTIA HOLDING INC,SR-1111-36,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1134,SOL REPUBLIC RELAYS SPORT BLACK DEMO,SOL REPLUBLIC RELAYS SPORT NOIR DEMO,ND,04 - Audio,BT On-Ear Headphone,Mid-tier,Sol Republic,Universal,Universal,Black,ATLANTIA HOLDING INC,SR-1152-31,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1137,SOL REPUBLIC SHADOW BLACK DEMO,SOL REPLUBLIC SHADOW NOIR DEMO,ND,04 - Audio,BT On-Ear Headphone,Mid-tier,Sol Republic,Universal,Universal,Black,ATLANTIA HOLDING INC,SR-1140-01,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1143,CAEDEN ON EAR WIRELESS CARBON/GOLD DEMO,CAEDEN LINEA NO1 ON-EAR HEAD CARB/GLD DEMO,ND,04 - Audio,Wired Headphone,On-Ear,Caeden,Universal,Universal,,ATLANTIA HOLDING INC,CAE10104,6.29018E+11,CAD,$0.00,$0.00
